hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
PutinIsaWarCriminal	105433445	21.70138	.06250	.00288	1	16	17	5890
PerthBlizzard	105433445	390.62500	.06250	.00016	1	16	1	5890
Perth	105433445	52.96610	.06250	.00118	1	16	7	5890
Ontario	105433445	5.94106	.06250	.01052	1	16	62	5890
MaskUp	105433445	5.41594	.06250	.01154	1	16	68	5890
MaskMandates	105433445	46.29629	.06250	.00135	1	16	8	5890
LeMMMMMMSnow	105433445	93.28358	.06250	.00067	1	16	4	5890
KindnessMatters	105433445	93.28358	.06250	.00067	1	16	4	5890
Kindness	105433445	74.40476	.06250	.00084	1	16	5	5890
IStandWithUkraine	105433445	14.74056	.06250	.00424	1	16	25	5890
CovidIsNotOver	105433445	4.78194	.06250	.01307	1	16	77	5890
COVIDisAirborne	105433445	2.94533	.06250	.02122	1	16	125	5890
Benadryl	105433445	390.62500	.06250	.00016	1	16	1	5890
allergy	105433445	390.62500	.06250	.00016	1	16	1	5890
ROC	1060751816	125.30952	.10526	.00084	2	19	5	5890
Valieva	1060751816	328.93750	.05263	.00016	1	19	1	5890
TeamCanada	1060751816	78.55223	.05263	.00067	1	19	4	5890
Russia	1060751816	2.60544	.05263	.02020	1	19	119	5890
Olympics2022	1060751816	105.26000	.05263	.00050	1	19	3	5890
Olympics	1060751816	78.55223	.05263	.00067	1	19	4	5890
OlympicGames	1060751816	105.26000	.05263	.00050	1	19	3	5890
MensHockey	1060751816	328.93750	.05263	.00016	1	19	1	5890
KamilaValieva	1060751816	328.93750	.05263	.00016	1	19	1	5890
IceHockey	1060751816	159.48484	.05263	.00033	1	19	2	5890
GOLD	1060751816	159.48484	.05263	.00033	1	19	2	5890
Gold	1060751816	328.93750	.05263	.00016	1	19	1	5890
GoCanadaGo	1060751816	28.29569	.05263	.00186	1	19	11	5890
doping	1060751816	159.48484	.05263	.00033	1	19	2	5890
Curling	1060751816	159.48484	.05263	.00033	1	19	2	5890
CANADA	1060751816	328.93750	.05263	.00016	1	19	1	5890
Canada	1060751816	3.97507	.05263	.01324	1	19	78	5890
BEIJING2022	1060751816	328.93750	.05263	.00016	1	19	1	5890
Beijing2022	1060751816	44.60169	.05263	.00118	1	19	7	5890
DaunteWright	1066773270773547008	1562.50000	.25000	.00016	1	4	1	5890
bossbabyabc	1066773270773547008	1562.50000	.25000	.00016	1	4	1	5890
AirFreshener	1066773270773547008	757.57575	.25000	.00033	1	4	2	5890
abcBossBaby	1066773270773547008	1562.50000	.25000	.00016	1	4	1	5890
private	1073606435580325889	865.78787	.28571	.00033	2	7	2	5890
depop	1073606435580325889	865.78787	.28571	.00033	2	7	2	5890
ToriesOut	1073606435580325889	141.43564	.14285	.00101	1	7	6	5890
JohnsonOut	1073606435580325889	28.06483	.14285	.00509	1	7	30	5890
funds	1073606435580325889	892.81250	.14285	.00016	1	7	1	5890
BorisJohnsonOut	1073606435580325889	432.87878	.14285	.00033	1	7	2	5890
bank	1073606435580325889	892.81250	.14285	.00016	1	7	1	5890
ClimateCrisis	1074480192	20.67803	.33333	.01612	2	6	95	5890
WellRegulatedMilitia	1074480192	1041.62500	.16666	.00016	1	6	1	5890
MAGA	1074480192	75.75454	.16666	.00220	1	6	13	5890
irs	1074480192	333.32000	.16666	.00050	1	6	3	5890
censorship	1074480192	1041.62500	.16666	.00016	1	6	1	5890
cancuncruz	1074480192	1041.62500	.16666	.00016	1	6	1	5890
RentControlNow	1077214808	3030.30303	1.00000	.00033	2	2	2	5890
rentcontrol	1077214808	423.72881	.50000	.00118	1	2	7	5890
SinemaEndsDemocracy	1080844782	595.23809	.50000	.00084	5	10	5	5890
VotingRightsNow	1080844782	200.00000	.10000	.00050	1	10	3	5890
VotingRightsAct	1080844782	119.04761	.10000	.00084	1	10	5	5890
VotingRights	1080844782	149.25373	.10000	.00067	1	10	4	5890
ThursdayThoughts	1080844782	303.03030	.10000	.00033	1	10	2	5890
ThursdayMotivation	1080844782	625.00000	.10000	.00016	1	10	1	5890
ReformTheFilibuster	1080844782	625.00000	.10000	.00016	1	10	1	5890
PRRRRRRVotingRightsNow	1080844782	625.00000	.10000	.00016	1	10	1	5890
